time,SSR
1653523200,4.18
1653609600,4.13
1653955200,4.49
1654041600,4.5
1654128000,4.22
1654214400,4.31
1654473600,4.23
1654560000,4.44
1654646400,4.4
1654732800,4.32
1654819200,4.31
1655078400,3.81
1655164800,3.22
1655251200,3.16
1655337600,3.23
1655424000,2.91
1655769600,2.9
1655856000,2.96
1655942400,2.92
1656028800,3.09
1656288000,3.1
1656374400,3.05
1656460800,2.99
1656547200,2.97
1656633600,2.94
1656979200,2.98
1657065600,2.97
1657152000,3.03
1657238400,3.19
1657497600,3.09
1657584000,2.95
1657670400,2.86
1657756800,3
1657843200,3.07
1658102400,3.1
1658188800,3.34
1658275200,3.49
1658361600,3.46
1658448000,3.45
1658707200,3.37
1658793600,3.18
1658880000,3.17
1658966400,3.42
1659052800,3.56
1659312000,3.47
1659398400,3.47
1659484800,3.43
1659571200,3.4
1659657600,3.37
1659916800,3.46
1660003200,3.55
1660089600,3.45
1660176000,3.57
1660262400,3.57
1660521600,3.63
1660608000,3.6
1660694400,3.56
1660780800,3.48
1660867200,3.46
1661126400,3.21
1661212800,3.19
1661299200,3.21
1661385600,3.19
1661472000,3.22
1661731200,2.91
1661817600,3.03
1661904000,2.95
1661990400,2.99
1662076800,3
1662422400,2.95
1662508800,2.8
1662595200,2.88
1662681600,2.88
1662940800,3.26
1663027200,3.34
1663113600,3.01
1663200000,3.02
1663286400,2.94
1663545600,2.89
1663632000,2.91
1663718400,2.81
1663804800,2.75
1663891200,2.89
1664150400,2.8
1664236800,2.96
1664323200,2.95
1664409600,3.01
1664496000,3.04
1664755200,2.99
1664841600,3.09
1664928000,3.21
1665014400,3.19
1665100800,3.15
1665360000,3.08
1665446400,3.03
1665532800,3.02
1665619200,3.04
1665705600,3.08
1665964800,3.08
1666051200,3.13
1666137600,3.1
1666224000,3.08
1666310400,3.08
1666569600,3.17
1666656000,3.13
1666742400,3.25
1666828800,3.36
1666915200,3.27
1667174400,3.33
1667260800,3.3
1667347200,3.32
1667433600,3.28
1667520000,3.3
1667779200,3.41
1667865600,3.32
1667952000,3
1668038400,2.56
1668124800,2.86
1668384000,2.69
1668470400,2.74
1668556800,2.78
1668643200,2.75
1668729600,2.76
1668988800,2.69
1669075200,2.61
1669161600,2.7
1669334400,2.77
1669593600,2.74
1669680000,2.71
1669766400,2.76
1669852800,2.89
1669939200,2.86
1670198400,2.87
1670284800,2.85
1670371200,2.87
1670457600,2.83
1670544000,2.9
1670803200,2.88
1670889600,2.9
1670976000,2.94
1671062400,2.93
