time,BVIV
1714348800,57.89
1714435200,62.85
1714521600,65.07
1714608000,59.63
1714694400,58.65
1714780800,59.1
1714867200,61.02
1714953600,57.92
1715040000,56.08
1715126400,57.56
1715212800,54.92
1715299200,56.74
1715385600,56.35
1715472000,56.95
1715558400,58.71
1715644800,58.73
1715731200,61.56
1715817600,60.52
1715904000,57.87
1715990400,59.38
1716076800,59.7
1716163200,63.8
1716249600,60.16
1716336000,57.21
1716422400,54.36
1716508800,53.22
1716595200,52.86
1716681600,54.45
1716768000,54.86
1716854400,56.5
1716940800,54.82
1717027200,55.2
1717113600,53.81
1717200000,52.61
1717286400,52.98
1717372800,54.47
1717459200,55.64
1717545600,56.93
1717632000,53.16
1717718400,51.06
1717804800,51.46
1717891200,53.19
1717977600,52.36
1718064000,54.43
1718150400,52.34
1718236800,51.97
1718323200,50.41
1718409600,49.87
1718496000,49.56
1718582400,50.76
1718668800,51.9
1718755200,50.55
1718841600,50.67
1718928000,49.17
1719014400,48.64
1719100800,50.09
1719187200,53.06
1719273600,49.76
1719360000,48.78
1719446400,49.86
1719532800,47.43
1719619200,44.72
1719705600,47.34
1719792000,46.37
1719878400,43.97
1719964800,46.87
1720051200,49.64
1720137600,51.87
1720224000,51.33
1720310400,53.99
1720396800,53.57
1720483200,52.44
1720569600,51.08
1720656000,50.96
1720742400,47.94
1720828800,50.83
1720915200,50.97
1721001600,56.62
1721088000,58.46
1721174400,60.64
1721260800,59.36
1721347200,62.41
1721433600,64.18
1721520000,67.39
1721606400,69.23
1721692800,65.95
1721779200,63.43
1721865600,64
1721952000,61.76
1722038400,56.75
1722124800,54.25
1722211200,53.33
1722297600,52.52
1722384000,50.63
1722470400,52.15
1722556800,53.72
1722643200,53.44
1722729600,58.58
1722816000,66.2
1722902400,64.86
1722988800,64.13
1723075200,59.33
1723161600,57.62
1723248000,58.87
1723334400,59.86
1723420800,60.02
1723507200,59.45
1723593600,58.16
1723680000,58.8
1723766400,55.53
1723852800,56.01
1723939200,57.81
1724025600,56
1724112000,56.44
1724198400,57.2
1724284800,57.77
1724371200,57.38
1724457600,58.63
1724544000,57.73
1724630400,53.68
1724716800,54.95
1724803200,55.47
1724889600,55.72
1724976000,54.79
1725062400,52.85
1725148800,56.65
1725235200,55.51
1725321600,57.62
1725408000,57.99
1725494400,59.63
1725580800,63.29
1725667200,62.39
1725753600,62.43
1725840000,61.15
1725926400,59.72
1726012800,57.2
1726099200,56.65
1726185600,55.1
1726272000,54.87
1726358400,55.86
1726444800,55.76
1726531200,55.92
1726617600,54.45
1726704000,54.76
1726790400,52.29
1726876800,53.4
1726963200,53.56
1727049600,52.79
1727136000,54.08
1727222400,52.22
1727308800,55.09
1727395200,54.58
1727481600,54.94
1727568000,56.37
1727654400,56.63
1727740800,58.82
1727827200,58.07
1727913600,59.28
1728000000,57.9
1728086400,57.54
1728172800,59.88
1728259200,58.56
1728345600,57.64
1728432000,58.74
1728518400,57.64
1728604800,59.31
1728691200,59.07
1728777600,59.2
1728864000,60.96
1728950400,61.19
1729036800,60.18
1729123200,59.06
1729209600,57.04
1729296000,56.85
1729382400,59.02
1729468800,57.74
1729555200,57.94
1729641600,58.36
1729728000,59.11
1729814400,59.97
1729900800,57.61
1729987200,59.42
1730073600,59.74
1730160000,62.27
1730246400,61.2
1730332800,60.71
1730419200,62.01
1730505600,62.53
1730592000,64.76
1730678400,67.52
1730764800,66.45
1730851200,58.11
1730937600,55.69
1731024000,51.59
1731110400,52.53
1731196800,55.11
1731283200,63.38
1731369600,60.49
1731456000,61.4
1731542400,62.19
1731628800,59.02
1731715200,59.06
1731801600,59.7
1731888000,60.8
1731974400,61.25
1732060800,63.56
1732147200,64.37
1732233600,64.36
1732320000,64.64
1732406400,67.58
1732492800,64.26
1732579200,65.64
1732665600,63.2
1732752000,61.02
1732838400,58.77
1732924800,57.79
1733011200,59.84
1733097600,58.48
1733184000,59.16
1733270400,60.73
1733356800,64.3
1733443200,61.39
1733529600,60.39
1733616000,61.41
1733702400,62.98
1733788800,62.32
1733875200,62.81
1733961600,63.57
1734048000,61.6
1734134400,60.89
1734220800,63.48
1734307200,61.71
1734393600,62.73
1734480000,63.88
1734566400,63.32
1734652800,62.2
1734739200,61.1
1734825600,64.8
1734912000,63.47
1734998400,64.23
1735084800,64.3
1735171200,65.44
1735257600,63.78
1735344000,63.54
1735430400,63.88
1735516800,64.6
1735603200,63.9
1735689600,64.71
1735776000,63.13
1735862400,61.89
1735948800,62.93
1736035200,62.67
1736121600,62
1736208000,61.76
1736294400,61.42
1736380800,62.87
1736467200,60.38
1736553600,61.78
1736640000,63
1736726400,64.62
1736812800,64.06
1736899200,64.45
1736985600,65.73
1737072000,65.47
1737158400,67.64
1737244800,68.58
1737331200,66.28
1737417600,65.36
1737504000,64.13
1737590400,63.37
1737676800,60.17
1737763200,59.7
1737849600,59.73
1737936000,61.94
1738022400,59.01
1738108800,59.05
1738195200,57.32
1738281600,55.45
1738368000,56.41
1738454400,60.17
1738540800,59.87
1738627200,56.38
1738713600,57.47
1738800000,56.44
1738886400,57.48
1738972800,56.82
1739059200,57.34
1739145600,54.94
1739232000,56.94
1739318400,54.61
1739404800,54.85
1739491200,53.64
1739577600,52.83
1739664000,52.81
1739750400,54.14
1739836800,53.9
1739923200,51.71
1740009600,51.3
1740096000,50.62
1740182400,50.32
1740268800,50.49
1740355200,49.67
1740441600,51.41
1740528000,54.03
1740614400,55.71
1740700800,53.74
1740787200,55.31
1740873600,59.06
1740960000,63.05
1741046400,66.46
1741132800,61.06
1741219200,63.73
1741305600,57.82
1741392000,55.89
1741478400,62.3
1741564800,63.82
1741651200,63.28
1741737600,60.2
1741824000,58.37
1741910400,55.81
1741996800,56.41
1742083200,57.95
1742169600,55.84
1742256000,55.14
1742342400,56.89
1742428800,51.18
1742515200,49.49
1742601600,50.72
1742688000,50.48
