time,ExchangeNetflow
1570406400,13575.77293
1570492800,5676.305764
1570579200,14368.10253
1570665600,9412.377162
1570752000,10403.67277
1570838400,2795.392265
1570924800,5985.346193
1571011200,5915.091494
1571097600,6562.744379
1571184000,10291.44792
1571270400,6807.916897
1571356800,7390.485431
1571443200,4958.377494
1571529600,7954.487002
1571616000,6249.155888
1571702400,7026.549464
1571788800,16944.58638
1571875200,6596.480636
1571961600,24061.68422
1572048000,48954.66722
1572134400,22229.44809
1572220800,18243.82992
1572307200,11265.96002
1572393600,11469.79318
1572480000,12317.39384
1572566400,8381.68175
1572652800,3974.771233
1572739200,3717.806314
1572825600,6686.022235
1572912000,6936.289182
1572998400,6087.177218
1573084800,5468.072353
1573171200,12413.41247
1573257600,3439.745609
1573344000,4220.540298
1573430400,8310.619532
1573516800,6264.056714
1573603200,4219.239264
1573689600,4750.36336
1573776000,7392.296412
1573862400,2014.160768
1573948800,3153.293996
1574035200,6866.45824
1574121600,6224.953616
1574208000,4202.979327
1574294400,12321.74227
1574380800,26207.10205
1574467200,7798.437507
1574553600,8680.123761
1574640000,24938.82088
1574726400,10017.29715
1574812800,19829.76948
1574899200,9362.021305
1574985600,10229.36241
1575072000,7482.738263
1575158400,8078.124593
1575244800,6131.613611
1575331200,3877.07669
1575417600,11230.79869
1575504000,6797.123435
1575590400,5787.591655
1575676800,3385.845335
1575763200,2988.672371
1575849600,8463.693342
1575936000,5780.41306
1576022400,4473.05009
1576108800,5772.66002
1576195200,4159.280147
1576281600,3455.819321
1576368000,3144.364227
1576454400,7690.961939
1576540800,9249.917024
1576627200,16742.94256
1576713600,8629.661407
1576800000,4380.460274
1576886400,2351.20494
1576972800,5281.973598
1577059200,9971.108113
1577145600,6128.549958
1577232000,2640.371658
1577318400,4521.048207
1577404800,5328.281089
1577491200,2637.571656
1577577600,4085.305969
1577664000,4833.130285
1577750400,3738.205816
1577836800,1878.252717
1577923200,5813.397615
1578009600,11663.35056
1578096000,4666.70263
1578182400,4911.108163
1578268800,9535.53433
1578355200,16868.59977
1578441600,18147.33723
1578528000,9036.859756
1578614400,13400.76553
1578700800,7262.137664
1578787200,3884.345391
1578873600,5388.538757
1578960000,23894.83244
1579046400,13328.9388
1579132800,9344.053824
1579219200,12685.72443
1579305600,5754.429354
1579392000,13061.68955
1579478400,6479.327667
1579564800,5267.467459
1579651200,4473.863362
1579737600,11366.87163
1579824000,8810.918512
1579910400,4113.662936
1579996800,7883.088417
1580083200,12717.14984
1580169600,13087.06375
1580256000,9470.038742
1580342400,11638.8737
1580428800,8066.227336
1580515200,3785.441403
1580601600,6268.009845
1580688000,7772.496399
1580774400,7467.127963
1580860800,13213.04313
1580947200,11014.08921
1581033600,6971.452315
1581120000,6486.649106
1581206400,9063.334692
1581292800,10984.58285
1581379200,12538.07076
1581465600,9561.283654
1581552000,13735.6677
1581638400,9122.92332
1581724800,9705.572989
1581811200,8941.461997
1581897600,9708.552396
1581984000,12191.14159
1582070400,15693.32911
1582156800,9828.525702
1582243200,7782.471509
1582329600,3336.725025
1582416000,7250.109973
1582502400,10380.07081
1582588800,9896.547822
1582675200,21938.37442
1582761600,14768.06834
1582848000,10520.61451
1582934400,4764.978781
1583020800,6665.588285
1583107200,9492.43984
1583193600,7560.571712
1583280000,5468.533419
1583366400,9636.751746
1583452800,6098.157885
1583539200,4835.334179
1583625600,13425.28686
1583712000,18577.42345
1583798400,11702.75346
1583884800,10084.07768
1583971200,79924.72737
1584057600,82785.40205
1584144000,22243.21451
1584230400,22643.02669
1584316800,46308.61433
1584403200,24063.3935
1584489600,28767.06824
1584576000,33951.781
1584662400,41624.9926
1584748800,18358.02789
1584835200,17425.13796
1584921600,27176.03966
1585008000,26601.29126
1585094400,22583.81248
1585180800,11257.22657
1585267200,14830.01222
1585353600,17227.8488
1585440000,12673.55352
1585526400,20770.08811
1585612800,9599.830209
1585699200,16658.99997
1585785600,25941.58334
1585872000,17226.41516
1585958400,10440.57389
1586044800,6579.943937
1586131200,19631.8038
1586217600,18303.06543
1586304000,14001.32149
1586390400,12302.62898
1586476800,17331.66079
1586563200,5817.53938
1586649600,11469.81886
1586736000,15652.45551
1586822400,10041.67967
1586908800,11545.20571
1586995200,22345.29268
1587081600,11333.95292
1587168000,7764.522533
1587254400,6936.309183
1587340800,16094.3971
1587427200,8453.542171
1587513600,8823.81691
1587600000,20831.73876
1587686400,10183.37215
1587772800,6949.838346
1587859200,8029.987855
1587945600,10178.83991
1588032000,9305.716003
1588118400,37990.40204
1588204800,37861.77922
1588291200,17005.52699
1588377600,8797.743496
1588464000,14874.12826
1588550400,15440.83659
1588636800,13770.03144
1588723200,22008.38185
1588809600,34486.07808
1588896000,25325.44133
1588982400,17009.84859
1589068800,46594.90687
1589155200,49540.51481
1589241600,19584.94558
1589328000,18161.42023
1589414400,29041.92093
1589500800,26400.4568
