time,VIX
1587513600,41.98
1587600000,41.38
1587686400,35.93
1587945600,33.29
1588032000,33.57
1588118400,31.23
1588204800,34.15
1588291200,37.19
1588550400,35.97
1588636800,33.61
1588723200,34.12
1588809600,31.44
1588896000,27.98
1589155200,27.57
1589241600,33.04
1589328000,35.28
1589414400,32.61
1589500800,31.89
1589760000,29.3
1589846400,30.53
1589932800,27.99
1590019200,29.53
1590105600,28.16
1590451200,28.01
1590537600,27.62
1590624000,28.59
1590710400,27.51
1590969600,28.23
1591056000,26.84
1591142400,25.66
1591228800,25.81
1591315200,24.52
1591574400,25.81
1591660800,27.57
1591747200,27.57
1591833600,40.79
1591920000,36.09
1592179200,34.4
1592265600,33.67
1592352000,33.47
1592438400,32.94
1592524800,35.12
1592784000,31.77
1592870400,31.37
1592956800,33.84
1593043200,32.22
1593129600,34.73
1593388800,31.78
1593475200,30.43
1593561600,28.62
1593648000,27.68
1593734400,27.68
1593993600,27.94
1594080000,29.43
1594166400,28.08
1594252800,29.26
1594339200,27.29
1594598400,32.19
1594684800,29.52
1594771200,27.76
1594857600,28
1594944000,25.68
1595203200,24.46
1595289600,24.84
1595376000,24.32
1595462400,26.08
1595548800,25.84
1595808000,24.74
1595894400,25.44
1595980800,24.1
1596067200,24.76
1596153600,24.46
1596412800,24.28
1596499200,23.76
1596585600,22.99
1596672000,22.65
1596758400,22.21
1597017600,22.13
1597104000,24.03
1597190400,22.28
1597276800,22.13
1597363200,22.05
1597622400,21.35
1597708800,21.51
1597795200,22.54
1597881600,22.72
1597968000,22.54
1598227200,22.37
1598313600,22.03
1598400000,23.27
1598486400,24.47
1598572800,22.96
1598832000,26.41
1598918400,26.12
1599004800,26.57
1599091200,33.6
1599177600,30.75
1599523200,31.46
1599609600,28.81
1599696000,29.71
1599782400,26.87
1600041600,25.85
1600128000,25.59
1600214400,26.04
1600300800,26.46
1600387200,25.83
1600646400,27.78
1600732800,26.86
1600819200,28.58
1600905600,28.51
1600992000,26.38
1601251200,26.19
1601337600,26.27
1601424000,26.37
1601510400,26.7
1601596800,27.63
1601856000,27.96
1601942400,29.48
1602028800,28.06
1602115200,26.36
1602201600,25
1602460800,25.07
1602547200,26.07
1602633600,26.4
1602720000,26.97
1602806400,27.41
1603065600,29.18
1603152000,29.35
1603238400,28.65
1603324800,28.11
1603411200,27.55
1603670400,32.46
1603756800,33.35
1603843200,40.28
1603929600,37.59
1604016000,38.02
1604275200,37.13
1604361600,35.55
1604448000,29.57
1604534400,27.58
1604620800,24.86
1604880000,25.75
1604966400,24.8
1605052800,23.45
1605139200,25.35
1605225600,23.1
1605484800,22.45
1605571200,22.71
1605657600,23.84
1605744000,23.11
1605830400,23.7
1606089600,22.66
1606176000,21.64
1606262400,21.25
1606348800,21.25
1606435200,20.84
1606694400,20.57
1606780800,20.77
1606867200,21.17
1606953600,21.28
1607040000,20.79
1607299200,21.3
1607385600,20.68
1607472000,22.27
1607558400,22.52
1607644800,23.31
1607904000,24.72
1607990400,22.89
1608076800,22.5
1608163200,21.93
1608249600,21.57
1608508800,25.16
1608595200,24.23
1608681600,23.31
1608768000,21.53
1608854400,21.53
1609113600,21.7
1609200000,23.08
1609286400,22.77
1609372800,22.75
1609718400,26.97
1609804800,25.34
1609891200,25.07
1609977600,22.37
1610064000,21.56
1610323200,24.08
1610409600,23.33
1610496000,22.21
1610582400,23.25
1610668800,24.34
1611014400,23.24
1611100800,21.58
1611187200,21.32
1611273600,21.91
1611532800,23.19
1611619200,23.02
1611705600,37.21
1611792000,30.21
1611878400,33.09
1612137600,30.24
1612224000,25.56
1612310400,22.91
1612396800,21.77
1612483200,20.87
1612742400,21.24
1612828800,21.63
1612915200,21.99
1613001600,21.25
1613088000,19.97
1613433600,21.46
1613520000,21.5
1613606400,22.49
1613692800,22.05
1613952000,23.45
1614038400,23.11
1614124800,21.34
1614211200,28.89
1614297600,27.95
1614556800,23.35
1614643200,24.1
1614729600,26.67
1614816000,28.57
1614902400,24.66
1615161600,25.47
1615248000,24.03
1615334400,22.56
1615420800,21.91
1615507200,20.69
1615766400,20.03
1615852800,19.79
1615939200,19.23
1616025600,21.58
1616112000,20.95
1616371200,18.88
1616457600,20.3
1616544000,21.2
1616630400,19.81
1616716800,18.86
1616976000,20.74
1617062400,19.61
1617148800,19.4
1617235200,17.33
1617321600,17.33
1617580800,17.91
1617667200,18.12
1617753600,17.16
1617840000,16.95
1617926400,16.69
1618185600,16.91
1618272000,16.65
1618358400,16.99
1618444800,16.57
1618531200,16.25
1618790400,17.29
1618876800,18.68
1618963200,17.5
1619049600,18.71
1619136000,17.33
1619395200,17.64
1619481600,17.56
1619568000,17.28
1619654400,17.61
1619740800,18.61
1620000000,18.31
1620086400,19.48
1620172800,19.15
1620259200,18.39
1620345600,16.69
1620604800,19.66
1620691200,21.84
1620777600,27.59
1620864000,23.13
1620950400,18.81
1621209600,19.72
1621296000,21.34
1621382400,22.18
1621468800,20.67
1621555200,20.15
1621814400,18.4
1621900800,18.84
1621987200,17.36
1622073600,16.74
1622160000,16.76
1622505600,17.9
1622592000,17.48
1622678400,18.04
1622764800,16.42
1623024000,16.42
1623110400,17.07
1623196800,17.89
1623283200,16.1
1623369600,15.65
1623628800,16.39
1623715200,17.02
1623801600,18.15
1623888000,17.75
1623974400,20.7
1624233600,17.89
1624320000,16.66
1624406400,16.32
1624492800,15.97
1624579200,15.62
1624838400,15.76
1624924800,16.02
1625011200,15.83
1625097600,15.48
1625184000,15.07
1625529600,16.44
1625616000,16.2
1625702400,19
1625788800,16.18
1626048000,16.17
1626134400,17.12
1626220800,16.33
1626307200,17.01
1626393600,18.45
1626652800,22.5
1626739200,19.73
1626825600,17.91
1626912000,17.69
1626998400,17.2
1627257600,17.58
1627344000,19.36
1627430400,18.31
1627516800,17.7
1627603200,18.24
1627862400,19.46
1627948800,18.04
1628035200,17.97
1628121600,17.28
1628208000,16.15
1628467200,16.72
1628553600,16.79
1628640000,16.06
1628726400,15.59
1628812800,15.45
1629072000,16.12
1629158400,17.91
1629244800,21.57
1629331200,21.67
1629417600,18.56
1629676800,17.15
1629763200,17.22
1629849600,16.79
1629936000,18.84
1630022400,16.39
1630281600,16.19
1630368000,16.48
1630454400,16.11
1630540800,16.41
1630627200,16.41
1630972800,18.14
1631059200,17.96
1631145600,18.8
1631232000,20.95
1631491200,19.37
1631577600,19.46
1631664000,18.18
1631750400,18.69
1631836800,20.81
1632096000,25.71
1632182400,24.36
1632268800,20.87
1632355200,18.63
1632441600,17.75
1632700800,18.76
1632787200,23.25
1632873600,22.56
1632960000,23.14
1633046400,21.15
1633305600,22.96
1633392000,21.3
1633478400,21
1633564800,19.54
1633651200,18.77
1633910400,20
1633996800,19.85
1634083200,18.64
1634169600,16.86
1634256000,16.3
1634515200,16.31
1634601600,15.7
1634688000,15.49
1634774400,15.01
1634860800,15.43
1635120000,15.24
1635206400,15.98
1635292800,16.98
1635379200,16.53
1635465600,16.26
1635724800,16.41
1635811200,16.03
1635897600,15.1
1635984000,15.44
1636070400,16.48
1636329600,17.22
1636416000,17.78
1636502400,18.73
1636588800,17.66
1636675200,16.29
1636934400,16.49
1637020800,16.37
1637107200,17.11
1637193600,17.59
1637280000,17.91
1637539200,19.17
1637625600,19.38
1637712000,18.58
1637798400,18.58
1637884800,28.62
1638144000,22.96
1638230400,27.19
1638316800,31.12
1638403200,27.95
1638489600,30.67
1638748800,27.18
1638835200,21.89
1638921600,19.9
1639008000,21.58
1639094400,18.69
1639353600,20.31
1639440000,21.89
1639526400,19.29
1639612800,20.57
1639699200,21.57
1639958400,22.87
1640044800,21.01
1640131200,18.63
1640217600,17.96
1640304000,17.96
1640563200,17.68
1640649600,17.54
1640736000,16.95
1640822400,17.33
1640908800,17.22
1641168000,16.6
1641254400,16.91
1641340800,19.73
1641427200,19.61
1641513600,18.76
1641772800,19.4
1641859200,18.41
1641945600,17.62
1642032000,20.31
1642118400,19.19
1642464000,22.79
1642550400,23.85
1642636800,25.59
1642723200,28.85
1642982400,29.9
1643068800,31.16
1643155200,31.96
1643241600,30.49
1643328000,27.66
1643587200,24.83
1643673600,21.96
1643760000,22.09
1643846400,24.35
1643932800,23.22
1644192000,22.86
1644278400,21.44
1644364800,19.96
1644451200,23.91
1644537600,27.36
1644796800,28.33
1644883200,25.7
1644969600,24.29
1645056000,28.11
1645142400,27.75
1645488000,28.81
1645574400,31.02
1645660800,30.32
1645747200,27.59
1646006400,30.15
1646092800,33.32
1646179200,30.74
1646265600,30.48
1646352000,31.98
1646611200,36.45
1646697600,35.13
1646784000,32.45
1646870400,30.23
1646956800,30.75
1647216000,31.77
1647302400,29.83
1647388800,26.67
1647475200,25.67
1647561600,23.87
1647820800,23.53
1647907200,22.94
1647993600,23.57
1648080000,21.67
1648166400,20.81
1648425600,19.63
1648512000,18.9
1648598400,19.33
1648684800,20.56
1648771200,19.63
1649030400,18.57
1649116800,21.03
1649203200,22.1
1649289600,21.55
1649376000,21.16
1649635200,24.37
1649721600,24.26
1649808000,21.82
1649894400,22.7
1649980800,22.7
1650240000,22.17
1650326400,21.37
1650412800,20.32
1650499200,22.68
1650585600,28.21
1650844800,27.02
1650931200,33.52
1651017600,31.6
1651104000,29.99
1651190400,33.4
1651449600,32.34
1651536000,29.25
1651622400,25.42
1651708800,31.2
1651795200,30.19
1652054400,34.75
1652140800,32.99
1652227200,32.56
1652313600,31.77
1652400000,28.87
1652659200,27.47
1652745600,26.1
1652832000,30.96
1652918400,29.35
1653004800,29.43
1653264000,28.48
1653350400,29.45
1653436800,28.37
1653523200,27.5
1653609600,25.72
1653868800,26.54
1653955200,26.19
1654041600,25.69
1654128000,24.72
1654214400,24.79
1654473600,25.07
1654560000,24.02
1654646400,23.96
1654732800,26.09
1654819200,27.75
1655078400,34.02
1655164800,32.69
1655251200,29.62
1655337600,32.95
1655424000,31.13
1655683200,31.03
1655769600,30.19
1655856000,28.95
1655942400,29.05
1656028800,27.23
1656288000,26.95
1656374400,28.36
1656460800,28.16
1656547200,28.71
1656633600,26.7
1656892800,27.53
1656979200,27.54
1657065600,26.73
1657152000,26.08
1657238400,24.64
1657497600,26.17
1657584000,27.29
1657670400,26.82
1657756800,26.4
1657843200,24.23
1658102400,25.3
1658188800,24.5
1658275200,23.88
1658361600,23.11
1658448000,23.03
1658707200,23.36
1658793600,24.69
1658880000,23.24
1658966400,22.33
1659052800,21.33
1659312000,22.84
1659398400,23.93
1659484800,21.95
1659571200,21.44
1659657600,21.15
1659916800,21.29
1660003200,21.77
1660089600,19.74
1660176000,20.2
